LOCALIDAD,MANI
"Bella Vista",""
"Beron de Astrada","2"
"Capital",""
"Concepcion","3"
"Curuzu Cuatia","0"
"Empedrado",""
"Esquina","0"
"General Alvear",""
"General Paz","3"
"Goya",""
"Itati","2"
"Ituzaingo","1"
"Lavalle",""
"Mburucuya",""
"Mercedes",""
"Monte Caseros",""
"Paso de los Libres","1"
"Saladas",""
"San Cosme","1"
"San Luis del Palmar","1"
"San Martin",""
"San Miguel","2"
"San Roque",""
"Santo Tome","1"
"Sauce","0"
